country_name,city_name,aqi_value,aqi_category,co_aqi_value,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category,city_ascii,country,lat,lng
Philippines,Naga,72.0,Moderate,1.0,Good,20.0,Good,1.0,Good,72.0,Moderate,Naga,Philippines,10.22,123.75
Japan,Nagahama,55.0,Moderate,1.0,Good,55.0,Moderate,1.0,Good,40.0,Good,Nagahama,Japan,35.3833,136.2833
Japan,Nagai,57.0,Moderate,1.0,Good,50.0,Good,1.0,Good,57.0,Moderate,Nagai,Japan,38.1075,140.0405
India,Nagamangala,62.0,Moderate,1.0,Good,16.0,Good,4.0,Good,62.0,Moderate,Nagamangala,India,12.8194,76.7546
Japan,Nagaoka,39.0,Good,1.0,Good,39.0,Good,1.0,Good,27.0,Good,Nagaoka,Japan,34.9269,135.6958
Japan,Nagaoka,39.0,Good,1.0,Good,39.0,Good,1.0,Good,27.0,Good,Nagaoka,Japan,37.4462,138.8512
India,Nagapattinam,64.0,Moderate,1.0,Good,37.0,Good,0.0,Good,64.0,Moderate,,,,
India,Nagar,310.0,Hazardous,1.0,Good,46.0,Good,0.0,Good,310.0,Hazardous,Nagar,India,27.4247,77.0995
India,Nagar,310.0,Hazardous,1.0,Good,46.0,Good,0.0,Good,310.0,Hazardous,Nagar,India,24.0898,87.9902
India,Nagar Karnul,123.0,Unhealthy for Sensitive Groups,0.0,Good,33.0,Good,0.0,Good,123.0,Unhealthy for Sensitive Groups,,,,
Japan,Nagareyama,68.0,Moderate,1.0,Good,68.0,Moderate,3.0,Good,31.0,Good,Nagareyama,Japan,35.8563,139.9029
India,Nagari,112.0,Unhealthy for Sensitive Groups,2.0,Good,38.0,Good,4.0,Good,112.0,Unhealthy for Sensitive Groups,Nagari,India,13.3214,79.5856
Nicaragua,Nagarote,50.0,Good,1.0,Good,27.0,Good,0.0,Good,50.0,Good,Nagarote,Nicaragua,12.2667,-86.5667
Japan,Nagato,43.0,Good,1.0,Good,43.0,Good,1.0,Good,28.0,Good,Nagato,Japan,34.3706,131.1825
India,Nagaur,500.0,Hazardous,0.0,Good,35.0,Good,0.0,Good,426.0,Hazardous,,,,
Japan,Nagayo,37.0,Good,1.0,Good,37.0,Good,6.0,Good,36.0,Good,,,,
Philippines,Nagcarlan,86.0,Moderate,2.0,Good,24.0,Good,8.0,Good,86.0,Moderate,Nagcarlan,Philippines,14.1364,121.4165
India,Nagda,160.0,Unhealthy,1.0,Good,37.0,Good,0.0,Good,160.0,Unhealthy,Nagda,India,23.4564,75.4131
India,Nagercoil,59.0,Moderate,1.0,Good,26.0,Good,1.0,Good,59.0,Moderate,Nagercoil,India,8.175,77.4306
Bangladesh,Nageshwari,86.0,Moderate,3.0,Good,76.0,Moderate,1.0,Good,86.0,Moderate,,,,
India,Nagina,196.0,Unhealthy,4.0,Good,196.0,Unhealthy,3.0,Good,191.0,Unhealthy,Nagina,India,29.443,78.433
India,Nagireddipalle,85.0,Moderate,0.0,Good,26.0,Good,0.0,Good,85.0,Moderate,,,,
Japan,Nago,54.0,Moderate,2.0,Good,23.0,Good,14.0,Good,54.0,Moderate,Nago,Japan,26.5917,127.9775
India,Nagod,165.0,Unhealthy,3.0,Good,103.0,Unhealthy for Sensitive Groups,2.0,Good,165.0,Unhealthy,Nagod,India,24.5692,80.5881
Germany,Nagold,63.0,Moderate,1.0,Good,54.0,Moderate,0.0,Good,63.0,Moderate,Nagold,Germany,48.5519,8.7256
India,Nagothana,101.0,Unhealthy for Sensitive Groups,0.0,Good,23.0,Good,0.0,Good,101.0,Unhealthy for Sensitive Groups,,,,
Japan,Nagoya,59.0,Moderate,1.0,Good,52.0,Moderate,3.0,Good,59.0,Moderate,Nagoya,Japan,35.1833,136.9
India,Nagpur,152.0,Unhealthy,1.0,Good,41.0,Good,0.0,Good,152.0,Unhealthy,Nagpur,India,21.1497,79.0806
Dominican Republic,Nagua,112.0,Unhealthy for Sensitive Groups,1.0,Good,39.0,Good,0.0,Good,112.0,Unhealthy for Sensitive Groups,Nagua,Dominican Republic,19.38,-69.85
Hungary,Nagyatad,65.0,Moderate,1.0,Good,65.0,Moderate,0.0,Good,58.0,Moderate,Nagyatad,Hungary,46.2227,17.3643
Hungary,Nagykallo,66.0,Moderate,1.0,Good,37.0,Good,1.0,Good,66.0,Moderate,Nagykallo,Hungary,47.8833,21.85
